,player_id,FirstLastTeam,Playing.for,DvP_position,Position,uf_position,games_played,dt_avg,disp_avg,risk,team_disp,usage,Season,highest_avg,talent,form
551,SamReid11880,SReidSYD,Sydney,KeyF,FWD,FWD,15,71,12,68,371.7,3.228410008,2019,71.33333333,71.16666667,66.58333333
553,SamSwitkowski12672,SSwitkowskiFRE,Fremantle,GenF,FWD,FWD,12,60,12,55,363.1,3.30487469,2019,60.25,61.75,60.9
556,SamWeideman12475,SWeidemanMEL,Melbourne,KeyF,FWD,FWD,7,54,10,32,386.2,2.589331952,2019,53.71428571,58.33333333,49.6
563,SeanLemmens12234,SLemmensGCS,Gold Coast,GenD,DEF,FWD,7,53,11,32,339.9,3.236245955,2019,53.14285714,53.07142857,53.14285714
565,ShaiBolton12535,SBoltonRIC,Richmond,GenF,FWD,FWD,11,65,15,50,366.8,4.089422028,2019,64.81818182,74,68.11111111
573,ShaunMcKernan11774,SMcKernanESS,Essendon,Ruck,RU,FWD,14,67,13,64,381.6,3.406708595,2019,67.14285714,67.25,73.45454545
578,StephenHill11716,SHillFRE,Fremantle,Mid,MID,FWD,3,38,12,14,363.1,3.30487469,2019,37.66666667,57.10714286,37.66666667
580,StevenMotlop11818,SMotlopPOR,Port Adelaide,MF,MID,FWD,10,71,18,45,375.5,4.793608522,2019,70.8,71.03571429,71.28571429
582,TarrynThomas12707,TThomasNME,North Melbourne,MF,MID,FWD,14,54,11,64,367.9,2.989942919,2019,54.35714286,54.5,55.16666667
586,TaylorGarner12220,TGarnerNME,North Melbourne,GenF,FWD,FWD,6,61,14,27,367.9,3.805381897,2019,60.83333333,64.53846154,60.83333333
587,TaylorWalker11713,TWalkerADE,Adelaide,KeyF,FWD,FWD,15,63,12,68,383,3.133159269,2019,63,70.42307692,66.41666667
590,TimMembrey12300,TMembreySTK,St Kilda,KeyF,FWD,FWD,15,71,13,68,388.7,3.344481605,2019,71.06666667,71.8,70.66666667
594,TobyGreene12025,TGreeneGWS,Greater Western Sydney,GenF,FWD,FWD,12,101,24,55,377.9,6.350886478,2019,101.4166667,101.2083333,113.6666667
595,TobyMcLean12363,TMcLeanWBD,Western Bulldogs,MF,MID,FWD,11,64,16,50,387.6,4.127966976,2019,63.81818182,76.84615385,63.125
598,ToddMarshall12575,TMarshallPOR,Port Adelaide,KeyF,FWD,FWD,6,56,10,27,375.5,2.663115846,2019,56.33333333,59.5,57.6
599,TomAtkins12690,TAtkinsGEE,Geelong,Mid,MID,FWD,14,56,12,64,380.1,3.157063931,2019,55.5,55.75,53.63636364
603,TomCampbell12097,TCampbellNME,North Melbourne,Ruck,RU,FWD,1,40,8,5,367.9,2.174503941,2019,40,64.625,40
607,TomHawkins11548,THawkinsGEE,Geelong,KeyF,FWD,FWD,15,68,13,68,380.1,3.420152591,2019,68.2,79.1,64.16666667
613,TomLynch11865,TLynchADE,Adelaide,KeyF,FWD,FWD,9,84,19,41,383,4.960835509,2019,84.22222222,88.19230769,80.14285714
