FirstLastTeam,Initial,First Name,Surname,Hypen,Club,POS
OClavarinoSTK,O,Oscar,Clavarino,,STK,DEF
MLingSYD,M,Matthew,Ling,,SYD,DEF
LShollADE,L,Lachlan,Sholl,,ADE,DEF
WHamillADE,W,William,Hamill,,ADE,DEF
JButtsADE,J,Jordon,Butts,,ADE,DEF
JMaddenBRI,J,James,Madden,,BRI,DEF
BSilvagniCAR,B,Ben,Silvagni,,CAR,DEF
MCottrellCAR,M,Matthew,Cottrell,,CAR,DEF
MKeaneCOL,M,Mark,Keane,,COL,DEF
DO'ReillyFRE,D,Dillon,O'Reilly,,FRE,DEF
TWatsonFRE,T,Tobe,Watson,,FRE,DEF
SOkunborGEE,S,Stefan,Okunbor,,GEE,DEF
JKennerleyGEE,J,Jacob,Kennerley,,GEE,DEF
BJarvisGEE,B,Ben,Jarvis,,GEE,DEF
JMcLennanGCS,J,Jez,McLennan,,GCS,DEF
KBriggsGWS,K,Kieren,Briggs,,GWS,DEF
CM.GWS,C,Callum,M.,Brown,GWS,DEF
JKoschitzkeHAW,J,Jacob,Koschitzke,,HAW,DEF
DGreavesHAW,D,Damon,Greaves,,HAW,DEF
JCrockerNME,J,Joel,Crocker,,NME,DEF
MFrederickPOR,M,Martin,Frederick,,POR,DEF
RGrundyPOR,R,Riley,Grundy,,POR,DEF
HReynoldsSYD,H,Harry,Reynolds,,SYD,DEF
LFoleyWCE,L,Luke,Foley,,WCE,DEF
HEdwardsWCE,H,Harry,Edwards,,WCE,DEF
BWilliamsWCE,B,Bailey,Williams,,WCE,DEF
BKhamisWBD,B,Buku,Khamis,,WBD,DEF
EVickers-WillisNME,E,Ed,Vickers-Willis,,NME,DEF
LAshGWS,L,Lachlan,Ash,,GWS,DEF
FMcaseyADE,F,Fischer,Mcasey,,ADE,DEF
HYoungFRE,H,Hayden,Young,,FRE,DEF
WDayHAW,W,Will,Day,,HAW,DEF
SDeGEE,S,Sam,De,Koning,GEE,DEF
WGouldSYD,W,Will,Gould,,SYD,DEF
JWorrellADE,J,Joshua,Worrell,,ADE,DEF
TRiversMEL,T,Trent,Rivers,,MEL,DEF
BSmithBRI,B,Brock,Smith,,BRI,DEF
FPerezNME,F,Flynn,Perez,,NME,DEF
TBiancoCOL,T,Trent,Bianco,,COL,DEF
LGollantADE,L,Lachlan,Gollant,,ADE,DEF
JPriorBRI,J,Jaxon,Prior,,BRI,DEF
TRuscoeCOL,T,Trey,Ruscoe,,COL,DEF
JPinaFRE,J,Jarvis,Pina,,FRE,DEF
JPasiniPOR,J,Jake,Pasini,,POR,DEF
BNyuonRIC,B,Bigoa,Nyuon,,RIC,DEF
LConnollySTK,L,Leo,Connolly,,STK,DEF
BRowlesSYD,B,Brady,Rowles,,SYD,DEF
BJohnsonWCE,B,Ben,Johnson,,WCE,DEF
LButlerWBD,L,Louis,Butler,,WBD,DEF
CMcBrideESS,C,Cian,McBride,,ESS,DEF
RMcQuillanESS,R,Ross,McQuillan,,ESS,DEF
LThomasFRE,L,Leno,Thomas,,FRE,DEF
LToweyGCS,L,Luke,Towey,,GCS,DEF
HPepperHAW,H,Harrison,Pepper,,HAW,DEF
MMcGuinnessNME,M,Matthew,McGuinness,,NME,DEF
