player_id,Playing.for,uf_position,dt_avg,disp_avg,risk,usage,talent,form,model_raw,projected,adp
ArchieSmith12472,Brisbane Lions,RUC,48,10,9,2.677376171,48,35,18.23110041405549,32.72048528967989,-40.2795147103201
BenMcEvoy11682,Hawthorn,RUC,76,12,55,3.187250996,82.3,74.18181818,40.34955783580651,72.417851014288,-0.582148985711996
BraydonPreuss12500,Melbourne,RUC,50,8,23,2.071465562,56.33333333,50,22.882415184727982,41.06848804732609,-31.9315119526739
BrodieGrundy12217,Collingwood,RUC,121,21,68,5.260521042,120.8,122.0833333,66.63061723457139,119.58609637108044,46.5860963710804
CallumColeman-Jones12730,Richmond,RUC,66,13,5,3.544165758,66,72,31.928695602976315,57.30440791113256,-15.6955920888674
CallumSinclair12158,Sydney,RUC,73,11,32,2.959375841,81.83333333,64,36.07107594392429,64.73899452038357,-8.26100547961643
HaydenMcLean12745,Sydney,RUC,65,11,18,2.959375841,64.875,64.75,29.885051027953615,53.63655239305254,-19.3634476069475
IvanSoldo12529,Richmond,RUC,72,10,45,2.726281352,72.1,73.22222222,35.08029184813384,62.96077292677276,-10.0392270732272
JarrodWitts12177,Gold Coast,RUC,106,15,68,4.413062665,106,106.1666667,57.217744089230706,102.69222983034815,29.6922298303482
JonathonCeglar12210,Hawthorn,RUC,75,13,50,3.452855246,74.81818182,79.125,39.17728189110009,70.31389475640682,-2.68610524359318
MabiorChol12485,Richmond,RUC,55,8,41,2.181025082,54.88888889,54.77777778,24.95859030723714,44.794728154175935,-28.2052718458241
MatthewKreuzer11645,Carlton,RUC,85,13,50,3.746397695,95.76666667,82.55555556,46.93836130960541,84.24318477059916,11.2431847705992
MaxGawn11966,Melbourne,RUC,111,18,64,4.660797514,111.1785714,112.0909091,60.12864510278163,107.91660420328377,34.916604203283804
NathanVardy11955,West Coast,RUC,51,7,23,1.965739961,59.46153846,39.5,21.79196829301543,39.11139545998288,-33.8886045400171
NicNaitanui11768,West Coast,RUC,73,11,14,3.089019938,77.77777778,72.66666667,35.199420632884035,63.17458073653015,-9.82541926346985
NoahBalta12686,Richmond,RUC,44,9,27,2.453653217,43.83333333,33.33333333,17.52451214330277,31.452327548570626,-41.5476724514294
OscarMcInerney12617,Brisbane Lions,RUC,59,9,55,2.409638554,59.16666667,63.8,29.497332757405864,52.94069039460635,-20.0593096053937
PeterLadhams12729,Port Adelaide,RUC,66,15,23,3.994673768,65.8,69.25,33.9875203946729,60.99950830445823,-12.0004916955418
RhysStanley11847,Geelong,RUC,78,14,45,3.683241252,79.04545455,75.875,40.11857945964245,72.00329981398396,-0.996700186016042
RoryLobb12282,Fremantle,RUC,73,12,36,3.30487469,82.5,64.2,37.51451206979867,67.32961875318372,-5.67038124681628
RowanMarshall12564,St Kilda,RUC,104,18,64,4.630820684,103.8214286,102.4166667,56.156296039000196,100.78718326022721,27.7871832602272
ScottLycett11994,Port Adelaide,RUC,95,18,50,4.793608522,94.90909091,100,52.32023299917347,93.90236328698163,20.9023632869816
SeanDarcy12547,Fremantle,RUC,69,11,50,3.029468466,76.3125,68.4,36.73144781141404,65.92420481955224,-7.07579518044776
ShaneMumford11656,Greater Western Sydney,RUC,56,9,45,2.381582429,69.69230769,59.125,31.06851503527063,55.76058855997681,-17.2394114400232
StefanMartin11684,Brisbane Lions,RUC,85,16,68,4.283801874,89.86666667,90.33333333,49.25506995756321,88.40112529609456,15.4011252960946
TimEnglish12537,Western Bulldogs,RUC,74,13,64,3.353973168,74,75,39.08472523437681,70.14777759090424,-2.85222240909576
TobyNankervis12374,Richmond,RUC,95,16,14,4.362050164,94.83333333,84.5,45.70589368863949,82.03119878259311,9.03119878259311
ToddGoldstein11686,North Melbourne,RUC,91,17,68,4.620820875,95.53333333,88.16666667,51.49215611578807,92.41616240682814,19.4161624068281
TomBellchambers11675,Essendon,RUC,74,10,36,2.620545073,78.75,76.6,36.706342749098354,65.87914720901088,-7.12085279098912
TomCampbell12097,North Melbourne,RUC,40,8,5,2.174503941,64.625,40,22.56829100331052,40.504709919633996,-32.495290080366
TomHickey12003,West Coast,RUC,69,13,59,3.650659927,71.14285714,72.66666667,38.17847645988321,68.521276775202125,-4.47872322479787
AdamTomlinson12027,Greater Western Sydney,MID,73,17,68,4.498544589,75.36666667,72,38.63419337468575,69.33918015285886,-22.6608198471411
AidenBonar12669,Greater Western Sydney,FWD,42,10,9,2.646202699,50.5,42,18.07018339801879,32.43167755254359,-19.5683224474564
AlexKeath12560,Adelaide,DEF,59,14,50,3.65535248,65,58.75,30.337352108706213,54.44832516173642,2.44832516173642
AndrewPhillips12075,Carlton,RUC,78,11,18,3.170028818,77.875,76,36.31939230023743,65.1846632677109,-7.8153367322891
BenCrocker12436,Collingwood,FWD,45,8,14,2.004008016,50.33333333,44.66666667,17.767657348327084,31.888715310338462,-20.1112846896615
BenKeays12434,Brisbane Lions,FWD,52,14,9,3.74832664,56,53,23.50799575925696,42.191256257773986,-9.80874374222601
BillyStretch12353,Melbourne,FWD,68,18,18,4.660797514,82.5,72.5,37.21665457651016,66.79503545836221,14.7950354583622
BlakeAcres12276,St Kilda,FWD,69,17,55,4.373552869,74.42857143,66.81818182,36.222960623019894,65.01159136287826,13.0115913628783
BobbyHill12744,Greater Western Sydney,FWD,50,10,32,2.646202699,50.14285714,50.28571429,21.18939447492468,38.029918900532635,-13.9700810994674
BradleyHill12060,Fremantle,MID,94,27,68,7.435968053,94,91,52.59892353117059,94.4025464490224,2.4025464490224002
