"","player_id","FirstLastTeam","Playing.for","DvP_position","Position","uf_position","games_played","dt_avg","disp_avg","risk","team_disp","usage","Season","highest_avg","talent","form"
"87","CalebDaniel12373","CDanielWBD","Western Bulldogs","GenD","MID","DEF",10,96,27,45,387.6,6.96594427244582,2019,95.6,95.8,95.8571428571429
"88","CalebGraham12754","CGrahamGCS","Gold Coast","KeyD","DEF","DEF",3,46,12,14,339.9,3.53045013239188,2019,45.6666666666667,45.8333333333333,45.6666666666667
"89","CalebMarchbank12369","CMarchbankCAR","Carlton","GenD","DEF","DEF",6,55,13,27,347,3.7463976945245,2019,55,59.1666666666667,56
"90","CaleHooker11702","CHookerESS","Essendon","KeyD","DEF","DEF",11,73,18,50,381.6,4.71698113207547,2019,73.1818181818182,74.8846153846154,70.2222222222222
"91","CallumAh Chee12414","CAh CheeGCS","Gold Coast",NA,NA,NA,1,62,17,5,339.9,5.0014710208885,2019,62,62,62
"92","CallumBrown12545","CBrownCOL","Collingwood","MF","MID",NA,14,64,15,64,399.2,3.75751503006012,2019,63.5,63.75,64
"93","CallumColeman-Jones12730","CColeman-JonesRIC","Richmond",NA,NA,"FWD",1,66,13,5,366.8,3.54416575790622,2019,66,66,64
"94","CallumColeman-Jones12730","CColeman-JonesRIC","Richmond",NA,NA,"RUC",1,66,13,5,366.8,3.54416575790622,2019,66,66,72
"95","CallumMills12413","CMillsSYD","Sydney","GenD","DEF","DEF",15,76,18,68,371.7,4.84261501210654,2019,75.5333333333333,75.7666666666667,76.6666666666667
"96","CallumSinclair12158","CSinclairSYD","Sydney","Ruck","RU","RUC",7,73,11,32,371.7,2.95937584073177,2019,72.7142857142857,81.8333333333333,64
"97","CallumWilkie12703","CWilkieSTK","St Kilda","GenD","DEF","DEF",15,61,14,68,388.7,3.60174942114741,2019,61.2666666666667,61.1333333333333,62.9166666666667
"98","CamEllis-Yolmen12283","CEllis-YolmenADE","Adelaide",NA,NA,NA,4,100,24,18,383,6.26631853785901,2019,100,100,89
"99","CameronGuthrie11884","CGuthrieGEE","Geelong","Mid","MID","MID",13,73,17,59,380.1,4.47250723493817,2019,73.2307692307692,73.1153846153846,71.2727272727273
"100","CameronPolson12523","CPolsonCAR","Carlton","GenF","FWD","FWD",1,49,14,5,347,4.03458213256484,2019,49,49,49
"101","CameronSutcliffe12104","CSutcliffePOR","Port Adelaide","GenD","DEF","FWD",5,50,11,23,375.5,2.92942743009321,2019,50.2,55.55,50.2
"102","CameronZurhaar12557","CZurhaarNME","North Melbourne","GenF","FWD","FWD",13,63,12,59,367.9,3.26175591193259,2019,63.4615384615385,63.2307692307692,60.2727272727273
"103","CamMcCarthy12315","CMcCarthyFRE","Fremantle","KeyF","FWD","FWD",8,60,12,36,363.1,3.304874690168,2019,59.625,59.8125,52.5714285714286
"104","CamRayner12592","CRaynerBRI","Brisbane Lions","MF","MID","FWD",15,49,10,68,373.5,2.67737617135207,2019,48.5333333333333,48.7666666666667,46.1666666666667
"105","CedricCox12522","CCoxBRI","Brisbane Lions","KeyD","DEF","FWD",1,44,9,5,373.5,2.40963855421687,2019,44,47.3333333333333,44
"106","ChadWingard12047","CWingardHAW","Hawthorn","MF","MID","FWD",9,86,21,41,376.5,5.57768924302789,2019,85.7777777777778,89.2083333333333,92.2857142857143
"107","ChangkuothJiath12752","CJiathHAW","Hawthorn","GenF","FWD","DEF",2,54,14,9,376.5,3.71845949535193,2019,53.5,53.75,53.5
"108","CharlieBallard12625","CBallardGCS","Gold Coast","GenD","MID","DEF",14,56,13,64,339.9,3.8246543100912,2019,55.8571428571429,55.9285714285714,58
"109","CharlieCameron12277","CCameronBRI","Brisbane Lions","GenF","FWD","FWD",15,67,12,68,373.5,3.21285140562249,2019,67.2666666666667,67.1333333333333,68.6666666666667
"110","CharlieConstable12687","CConstableGEE","Geelong","Mid","MID","MID",2,94,26,9,380.1,6.84030518284662,2019,94,94,106
"111","CharlieCurnow12421","CCurnowCAR","Carlton","GenF","FWD","FWD",7,61,11,32,347,3.1700288184438,2019,60.7142857142857,67.5,56
"112","CharlieDixon11914","CDixonPOR","Port Adelaide","KeyF","FWD","FWD",9,56,11,41,375.5,2.92942743009321,2019,56.4444444444444,67.5625,56.4444444444444
"113","CharlieSpargo12622","CSpargoMEL","Melbourne","Mid","MID","FWD",6,52,12,27,386.2,3.10719834282755,2019,52,55.2272727272727,54
"114","ChayceJones12691","CJonesADE","Adelaide","MF","MID","FWD",5,55,13,23,383,3.39425587467363,2019,55.2,55.1,60.6666666666667
"115","ChrisBurgess12705","CBurgessGCS","Gold Coast","KeyD","DEF","DEF",11,37,9,50,339.9,2.64783759929391,2019,37,37,42.75
"116","ChrisMasten11638","CMastenWCE","West Coast","Mid","MID",NA,10,70,18,45,356.1,5.0547598989048,2019,70.2,72.1785714285714,74.3333333333333
"117","ChrisMayne11642","CMayneCOL","Collingwood","GenF","FWD","MID",15,83,20,68,399.2,5.01002004008016,2019,82.5333333333333,82.7666666666667,79.3333333333333
"118","ChristianPetracca12430","CPetraccaMEL","Melbourne","MF","MID","FWD",15,79,20,68,386.2,5.17866390471258,2019,78.5333333333333,81.3333333333333,79.8333333333333
"119","ChristianSalem12272","CSalemMEL","Melbourne","GenD","DEF","DEF",13,90,24,59,386.2,6.2143966856551,2019,89.6923076923077,90,86.5
"120","ClaytonOliver12410","COliverMEL","Melbourne","Mid","MID","MID",15,103,29,68,386.2,7.50906266183325,2019,103.133333333333,108.766666666667,108.666666666667
"121","ColinORiordan12658","CORiordanSYD","Sydney",NA,NA,NA,10,55,14,45,371.7,3.76647834274953,2019,54.6,60.3333333333333,53.625
"122","ConnorBlakely12397","CBlakelyFRE","Fremantle","Mid","MID","DEF",13,75,20,59,363.1,5.50812448361333,2019,75.0769230769231,82.8333333333333,74.6363636363636
"123","ConnorIdun12750","CIdunGWS","Greater Western Sydney","GenD","DEF","DEF",1,33,8,5,377.9,2.1169621593014,2019,33,33,33
"124","ConnorMenadue12356","CMenadueRIC","Richmond","GenD","FWD",NA,2,42,10,9,366.8,2.72628135223555,2019,42.5,50,50
"125","ConnorRozee12697","CRozeePOR","Port Adelaide","GenF","FWD","FWD",15,69,15,68,375.5,3.99467376830892,2019,69.1333333333333,69.0666666666667,71.8333333333333
"126","ConorGlass12561","CGlassHAW","Hawthorn","GenD","DEF","DEF",6,52,14,27,376.5,3.71845949535193,2019,52.3333333333333,52.75,58
"127","ConorMcKenna12391","CMcKennaESS","Essendon","GenD","DEF","DEF",14,73,21,64,381.6,5.50314465408805,2019,72.9285714285714,72.9642857142857,76.1818181818182
"128","ConorNash12670","CNashHAW","Hawthorn","GenD","DEF","FWD",11,43,9,50,376.5,2.39043824701195,2019,42.7272727272727,51.6666666666667,42.4
"129","CoreyEllis12346","CEllisGCS","Gold Coast","GenD","MID","DEF",4,62,18,18,339.9,5.29567519858782,2019,62,62,62
"130","CoreyWagner12453","CWagnerMEL","Melbourne","Mid","MID","FWD",8,56,12,36,386.2,3.10719834282755,2019,56.125,56.0625,56.3333333333333
"131","CurtisTaylor12722","CTaylorNME","North Melbourne","GenF","MID","FWD",1,11,4,5,367.9,1.0872519706442,2019,11,11,11
"132","DaleMorris4084","DMorrisWBD","Western Bulldogs","GenD","DEF",NA,1,22,6,5,387.6,1.54798761609907,2019,22,32.4090909090909,22
"133","DaleThomas4152","DThomasCAR","Carlton","GenD","MID",NA,13,80,19,59,347,5.47550432276657,2019,80,80.6538461538462,80.7272727272727
"134","DanButler12490","DButlerRIC","Richmond","GenF","FWD",NA,6,52,9,27,366.8,2.453653217012,2019,51.8333333333333,58.375,51.25
"135","DaneRampe12140","DRampeSYD","Sydney","GenD","DEF","DEF",14,86,21,64,371.7,5.64971751412429,2019,86.2142857142857,86.1071428571429,84.5454545454545
"136","DanHannebery11783","DHanneberySTK","St Kilda","Mid","MID","MID",5,99,25,23,388.7,6.4316953949061,2019,98.6,98.8,98.6
"137","DanHouston12495","DHoustonPOR","Port Adelaide","GenD","DEF","DEF",14,83,22,64,375.5,5.85885486018642,2019,83.3571428571429,83.1785714285714,83.7272727272727
"138","DanielHowe12360","DHoweHAW","Hawthorn","Mid","MID","DEF",8,63,15,36,376.5,3.98406374501992,2019,63.375,72.5555555555556,63.375
"139","DanielLloyd12532","DLloydGWS","Greater Western Sydney","GenF","FWD","FWD",7,55,14,32,377.9,3.70468377877745,2019,54.7142857142857,54.8571428571429,53.1666666666667
"140","DanielMcKenzie12350","DMcKenzieSTK","St Kilda","GenD","MID","DEF",9,39,10,41,388.7,2.57267815796244,2019,39.4444444444444,47.1153846153846,35.2857142857143
"141","DanielMcStay12291","DMcStayBRI","Brisbane Lions","KeyF","DEF","FWD",15,49,10,68,373.5,2.67737617135207,2019,49.1333333333333,50.6428571428571,49.1666666666667
"142","DanielMenzel11873","DMenzelSYD","Sydney","GenF","FWD",NA,7,48,10,32,371.7,2.69034167339252,2019,48.4285714285714,57.3636363636364,51
"143","DanielRich11725","DRichBRI","Brisbane Lions","GenD","DEF","DEF",15,88,22,68,373.5,5.89022757697456,2019,87.5333333333333,87.7666666666667,86.9166666666667
"144","DanielRioli12403","DRioliRIC","Richmond","GenF","FWD","FWD",14,58,13,64,366.8,3.54416575790622,2019,57.9285714285714,62.05,57.4166666666667
"145","DanielTalia11989","DTaliaADE","Adelaide","KeyD","DEF","DEF",15,59,12,68,383,3.1331592689295,2019,58.8,58.9,58.3333333333333
"146","DanielVenables12602","DVenablesWCE","West Coast","MF","MID","FWD",2,49,11,9,356.1,3.0890199382196,2019,49,49,56
"147","DanielWells1427","DWellsCOL","Collingwood","Mid","MID",NA,1,67,11,5,399.2,2.75551102204409,2019,67,69.0833333333333,54
"148","DarcyByrne-Jones12422","DByrne-JonesPOR","Port Adelaide",NA,NA,"DEF",15,89,24,68,375.5,6.39147802929427,2019,88.9333333333333,88.9666666666667,87.5
"149","DarcyFogarty12584","DFogartyADE","Adelaide","KeyF","FWD","FWD",4,59,10,18,383,2.61096605744125,2019,59.25,59.125,59.25
"150","DarcyFort12724","DFortGEE","Geelong","Ruck","RU","FWD",2,44,7,9,380.1,1.84162062615101,2019,43.5,43.75,46
"151","DarcyGardiner12267","DGardinerBRI","Brisbane Lions","KeyD","DEF","DEF",15,59,13,68,373.5,3.4805890227577,2019,59.1333333333333,59.7307692307692,57
"152","DarcyLang12286","DLangCAR","Carlton","GenF","FWD","FWD",8,46,8,36,347,2.30547550432277,2019,45.875,53.6666666666667,47.1428571428571
"153","DarcyMacPherson12438","DMacPhersonGCS","Gold Coast",NA,NA,"FWD",15,87,19,68,339.9,5.58987937628714,2019,87.4,93,85.4166666666667
"154","DarcyMoore12372","DMooreCOL","Collingwood","GenD","FWD","DEF",9,51,13,41,399.2,3.2565130260521,2019,51,58.2142857142857,50.7142857142857
"155","DarcyParish12406","DParishESS","Essendon","Mid","MID","FWD",13,80,21,59,381.6,5.50314465408805,2019,80,80.1666666666667,75.8181818181818
"156","DarcyTucker12426","DTuckerFRE","Fremantle","GenD","DEF","FWD",15,76,19,68,363.1,5.23271825943266,2019,75.8666666666667,75.9333333333333,76.1666666666667
"157","DarraghJoyce12654","DJoyceSTK","St Kilda","KeyD","DEF","DEF",2,49,16,9,388.7,4.1162850527399,2019,49,49,58
"158","DavidArmitage11570","DArmitageSTK","St Kilda","Mid","MID",NA,2,66,16,9,388.7,4.1162850527399,2019,66,76.1363636363636,66
"159","DavidAstbury11828","DAstburyRIC","Richmond","KeyD","DEF","DEF",13,51,13,59,366.8,3.54416575790622,2019,50.8461538461538,58.2,51.3
"160","DavidCuningham12476","DCuninghamCAR","Carlton","MF","MID","FWD",6,61,15,27,347,4.32276657060519,2019,61.3333333333333,63.0714285714286,51.3333333333333
"161","DavidMackay11634","DMackayADE","Adelaide",NA,NA,"DEF",11,65,17,50,383,4.43864229765013,2019,65.2727272727273,66.8846153846154,65.2222222222222
"162","DavidMirra12613","DMirraHAW","Hawthorn","GenD","DEF",NA,1,76,16,5,376.5,4.24966799468791,2019,76,76,64
"163","DavidMundy4088","DMundyFRE","Fremantle","Mid","MID","MID",15,68,19,68,363.1,5.23271825943266,2019,68.3333333333333,78.9333333333333,68.75
"164","DavidMyers11663","DMyersESS","Essendon","Mid","MID",NA,3,62,14,14,381.6,3.66876310272537,2019,62,72.2272727272727,65.5
"165","DavidSwallow11919","DSwallowGCS","Gold Coast","Mid","MID","MID",15,90,23,68,339.9,6.76669608708444,2019,90.3333333333333,90.1666666666667,92.75
"166","DavidZaharakis11729","DZaharakisESS","Essendon","Mid","MID","MID",14,72,19,64,381.6,4.979035639413,2019,72.4285714285714,87.3666666666667,69.6363636363636
"167","DawsonSimpson11822","DSimpsonGWS","Greater Western Sydney","Ruck","RU",NA,8,70,8,36,377.9,2.1169621593014,2019,69.5,74.25,69.7142857142857
"168","DayneBeams11728","DBeamsCOL","Collingwood","Mid","MID","MID",4,89,24,18,399.2,6.01202404809619,2019,89.25,98.7,128
