FirstLastTeam,ID,First Intial,First Name,Last Name,Team,DvP Position,Position,Height,Weight
MPaparoneBRI,76,M,Marco,Paparone,BRI,GenD,DEF,,
MRobinsonBRI,77,M,Mitch,Robinson,BRI,Mid,MID,,
MAdamsBRI,748,M,Marcus,Adams,BRI,KeyD,DEF,,
NRobertsonBRI,78,N,Nick,Robertson,BRI,GenD,DEF,,
NAnswerthBRI,901,N,Noah,Answerth,BRI,GenD,DEF,,
OMcInerneyBRI,79,O,Oscar,McInerney,BRI,KeyF,RU,204,
RBastinacBRI,80,R,Ryan,Bastinac,BRI,GenF,FWD,,
RBewickBRI,81,R,Rohan,Bewick,BRI,GenD,DEF,,
RLesterBRI,82,R,Ryan,Lester,BRI,GenD,MID,,
RMathiesonBRI,83,R,Rhys,Mathieson,BRI,MF,FWD,,
SMartinBRI,84,S,Stefan,Martin,BRI,Ruck,RU,,
SSkinnerBRI,86,S,Sam,Skinner,BRI,KeyD,DEF,,
TBellBRI,87,T,Tom,Bell,BRI,MF,FWD,,
TCutlerBRI,88,T,Tom,Cutler,BRI,GenF,FWD,,
TWoollerBRI,89,T,Toby,Wooller,BRI,KeyF,FWD,194,87
TBerryBRI,902,T,Thomas,Berry,BRI,Mid,MID,,
TFullartonBRI,903,T,Thomas,Fullarton,BRI,Ruck,RU,,
TJoyceBRI,904,T,Tom,Joyce,BRI,Mid,MID,,
ZBaileyBRI,90,Z,Zac,Bailey,BRI,Mid,MID,,
AMullettCAR,91,A,Aaron,Mullett,CAR,GenD,DEF,,
APhillipsCAR,92,A,Andrew,Phillips,CAR,Ruck,RU,,
ASchumacherCAR,93,A,Angus,Schumacher,CAR,Mid,MID,,
ASilvagniCAR,94,A,Alex,Silvagni,CAR,KeyD,DEF,,
AFasoloCAR,136,A,Alex,Fasolo,CAR,GenF,FWD,,
BSilvagniCAR,826,B,Ben,Silvagni,CAR,KeyF,FWD,,
CByrneCAR,95,C,Ciaran,Byrne,CAR,GenD,DEF,,
CCurnowCAR,96,C,Charlie,Curnow,CAR,GenF,FWD,,
CMarchbankCAR,97,C,Caleb,Marchbank,CAR,GenD,DEF,,
CMcDaidCAR,98,C,Cillian,McDaid,CAR,GenD,DEF,,
COSheaCAR,99,C,Cam,OShea,CAR,GenD,DEF,,
CPolsonCAR,100,C,Cameron,Polson,CAR,GenF,FWD,,
DCuninghamCAR,101,D,David,Cuningham,CAR,MF,MID,,
DLangCAR,102,D,Darcy,Lang,CAR,GenF,FWD,,
DThomasCAR,103,D,Dale,Thomas,CAR,GenD,MID,,
ECurnowCAR,104,E,Ed,Curnow,CAR,Mid,MID,,
FO'DwyerCAR,827,F,Finbar,O'Dwyer,CAR,KeyF,FWD,,
HMacreadieCAR,105,H,Harrison,Macreadie,CAR,KeyD,DEF,,
HMcKayCAR,106,H,Harry,McKay,CAR,KeyF,FWD,200,
HGoddardCAR,643,H,Hugh,Goddard,CAR,KeyD,DEF,,
JGarlettCAR,107,J,Jarrod,Garlett,CAR,GenF,FWD,,
JGlass-McCaskerCAR,108,J,Jesse,Glass-McCasker,CAR,KeyD,DEF,,
JLambCAR,109,J,Jed,Lamb,CAR,GenF,FWD,,
JPickettCAR,110,J,Jarrod,Pickett,CAR,Mid,MID,,
JSilvagniCAR,111,J,Jack,Silvagni,CAR,GenF,FWD,196,
JWeiteringCAR,112,J,Jacob,Weitering,CAR,KeyD,DEF,,
JDelucaCAR,952,J,Joshua,Deluca-Cardillo,CAR,GenF,MID,,
KLeboisCAR,113,K,Kym,Lebois,CAR,GenF,FWD,,
KSimpsonCAR,114,K,Kade,Simpson,CAR,GenD,DEF,,
KLeboisCAR,828,K,Kym,Lebois,CAR,GenF,FWD,,
LCasboultCAR,115,L,Levi,Casboult,CAR,KeyD,FWD,201,
LJonesCAR,116,L,Liam,Jones,CAR,KeyD,DEF,,
LO'BrienCAR,117,L,Lochie,OBrien,CAR,Mid,MID,,
LPlowmanCAR,118,L,Lachie,Plowman,CAR,KeyD,DEF,,
LStockerCAR,829,L,Liam,Stocker,CAR,Mid,MID,,
MMcGovernCAR,27,M,Mitchell,McGovern,CAR,KeyF,FWD,190,93
MKennedyCAR,119,M,Matthew,Kennedy,CAR,Mid,MID,,
MKreuzerCAR,120,M,Matthew,Kreuzer,CAR,Ruck,RU,,
MLobbeCAR,121,M,Matthew,Lobbe,CAR,Ruck,RU,,
MMurphyCAR,122,M,Marc,Murphy,CAR,Mid,MID,,
MShawCAR,123,M,Matt,Shaw,CAR,Mid,MID,,
MWrightCAR,124,M,Matthew,Wright,CAR,Mid,MID,,
MOwiesCAR,830,M,Matthew,Owies,CAR,Mid,MID,,
MCottrellCAR,831,M,Matthew,Cottrell,CAR,Mid,MID,,
MGibbonsCAR,832,M,Michael,Gibbons,CAR,MF,MID,,
NGrahamCAR,125,N,Nick,Graham,CAR,Mid,MID,,
NNewmanCAR,708,N,Nic,Newman,CAR,GenD,MID,,
PCrippsCAR,126,P,Patrick,Cripps,CAR,Mid,MID,,
PDowCAR,127,P,Paddy,Dow,CAR,Mid,MID,,
PKerrCAR,128,P,Pat,Kerr,CAR,KeyF,FWD,,
SDochertyCAR,129,S,Sam,Docherty,CAR,GenD,DEF,,
SKerridgeCAR,130,S,Sam,Kerridge,CAR,Mid,MID,,
SP-SetonCAR,131,S,Sam,Petrevski-Seton,CAR,Mid,MID,,
SRoweSTK,132,S,Sam,Rowe,CAR,KeyD,DEF,,
SWalshCAR,833,S,Sam,Walsh,CAR,Mid,MID,,
Tde KoningCAR,133,T,Tom,De,CAR,Ruck,RU,,
TWilliamsonCAR,134,T,Tom,Williamson,CAR,GenD,DEF,,
TBuggCAR,491,T,Tomas,Bugg,CAR,GenD,DEF,,
WSetterfieldCAR,400,W,Will,Setterfield,CAR,Mid,MID,,
ZFisherCAR,135,Z,Zac,Fisher,CAR,Mid,FWD,,
AOxleyCOL,137,A,Adam,Oxley,COL,Mid,MID,,
ATreloarCOL,138,A,Adam,Treloar,COL,Mid,MID,,
ATohillCOL,869,A,Anton,Tohill,COL,GenF,FWD,,
ABosenavulagiCOL,870,A,Atu,Bosenavulagi,COL,GenF,FWD,,
BCrockerCOL,139,B,Ben,Crocker,COL,MF,FWD,,
BGrundyCOL,140,B,Brodie,Grundy,COL,Ruck,RU,,
BMaynardCOL,141,B,Brayden,Maynard,COL,GenD,DEF,,
BMihocekCOL,142,B,Brody,Mihocek,COL,KeyF,DEF,192,94
BReidCOL,143,B,Ben,Reid,COL,KeyD,FWD,,
BSierCOL,144,B,Brayden,Sier,COL,Mid,MID,,
CBrownCOL,145,C,Callum,Brown,COL,MF,MID,,
CMayneCOL,146,C,Chris,Mayne,COL,GenF,FWD,,
DBeamsCOL,57,D,Dayne,Beams,COL,Mid,MID,,
DMooreCOL,147,D,Darcy,Moore,COL,GenD,FWD,,
DWellsCOL,148,D,Daniel,Wells,COL,Mid,MID,,
FApplebyCOL,149,F,Flynn,Appleby,COL,GenD,DEF,,
IQuaynorCOL,871,I,Isaac,Quaynor,COL,GenD,DEF,,
JAishCOL,150,J,James,Aish,COL,Mid,MID,,
JBlairCOL,151,J,Jarryd,Blair,COL,GenF,FWD,,
JCrispCOL,152,J,Jack,Crisp,COL,GenD,DEF,,
JDaicosCOL,153,J,Josh,Daicos,COL,GenF,FWD,,
JGoeyCOL,154,J,Jordan,de Goey,COL,GenF,MID,,
JElliottCOL,155,J,Jamie,Elliott,COL,GenF,FWD,,
JHoweCOL,156,J,Jeremy,Howe,COL,GenD,DEF,,
JMadgenCOL,157,J,Jack,Madgen,COL,GenD,DEF,,
JStephensonCOL,159,J,Jaidyn,Stephenson,COL,MF,MID,,
JThomasCOL,160,J,Josh,Thomas,COL,GenF,FWD,,
JRougheadCOL,738,J,Jordan,Roughead,COL,KeyD,RU,200,101
JNobleCOL,947,J,John,Noble,COL,Mid,MID,,
KKirbyCOL,161,K,Kayle,Kirby,COL,GenF,FWD,,
LDunnCOL,162,L,Lynden,Dunn,COL,GenD,DEF,,
LGreenwoodCOL,163,L,Levi,Greenwood,COL,Mid,MID,,
MCoxCOL,164,M,Mason,Cox,COL,KeyF,RU,211,108
MLynchCOL,165,M,Max,Lynch,COL,Ruck,RU,,
MScharenbergCOL,166,M,Matt,Scharenberg,COL,KeyD,DEF,,
MKeaneCOL,872,M,Mark,Keane,COL,GenF,FWD,,
NMurphyCOL,167,N,Nathan,Murphy,COL,GenD,DEF,,
RWillsCOL,168,R,Rupert,Wills,COL,Mid,MID,,
SMcLartyCOL,169,S,Sam,McLarty,COL,KeyD,DEF,,
SMurrayCOL,170,S,Sam,Murray,COL,Mid,MID,,
SPendleburyCOL,171,S,Scott,Pendlebury,COL,Mid,MID,,
SSidebottomCOL,172,S,Steele,Sidebottom,COL,Mid,MID,,
TAdamsCOL,173,T,Taylor,Adams,COL,Mid,MID,,
TBroomheadCOL,174,T,Tim,Broomhead,COL,Mid,MID,,
TBrownCOL,175,T,Tyler,Brown,COL,GenF,FWD,,
